season,pH value,temperature,humidity,rainfall,yield,water ,crop
0,5.5,24,65,200,43,35,Banana
0,5.9,26,54,240,43.65,35,Banana
0,6.3,31,55,258,41.56,35,Banana
0,6.4,28,56,267,40.71,35,Banana
0,6.2,27,57,210,50.29,35,Banana
0,6,23,58,247,47.86,35,Banana
0,6.5,24,59,239,45.68,35,Banana
0,5.5,25,60,149,0.5,70,Cashewnut
0,5.8,28,61,498,0.43,80,Cashewnut
0,6.2,33,62,167,0.26,75,Cashewnut
0,6.5,38,63,200,0.29,85,Cashewnut
0,6.6,31,64,148,0.41,83,Cashewnut
0,7.2,21,50,168,0.31,70,Cashewnut
0,7.5,24,69,175,0.33,80,Cashewnut
0,5.2,20,70,38,0.35,50,Castorseed
1,6.5,19,71,53,0.78,50,Castorseed
0,6,24,72,45,0.3,50,Castorseed
1,6,25,73,56,0.18,50,Castorseed
1,5.9,28,74,48,0.3,50,Castorseed
1,6.3,26,65,47,0.35,50,Castorseed
1,6.1,21,66,37,0.34,50,Castorseed
0,6.5,20,67,200,0.4,35,Coriander
0,6.9,19,68,240,0.43,70,Coriander
0,7.1,23,69,260,0.47,80,Coriander
0,6.5,24,70,215,0.38,75,Coriander
0,7.3,29,71,190,0.35,85,Coriander
0,6.8,32,72,254,0.88,83,Coriander
0,7.5,24,73,265,0.6,70,Coriander
0,6.4,20,74,130,14035.4,80,Coconut
0,6.6,21,65,240,14567.3,50,Coconut
0,6.8,26,72,167,15575.23,50,Coconut
0,6.4,29,73,198,15136.15,50,Coconut
0,6.9,27,74,238,13958.43,50,Coconut
0,6.5,19,65,245,15019.3,50,Coconut
0,7,27,66,175,14398.75,50,Coconut
0,5,20,67,50,0.55,50,Chilly
0,5.8,25,68,45,0.35,35,Chilly
0,5.7,24,69,80,0.44,70,Chilly
0,5.5,26,70,100,0.47,80,Chilly
0,5.4,19,71,86,0.27,75,Chilly
0,5.2,22,72,99,0.91,85,Chilly
0,6,23,73,56,0.78,83,Chilly
0,6.5,19,53,33,0.6,70,Gram
2,6.8,15,54,35,0.59,80,Gram
0,7.4,22,55,45,0.65,50,Gram
2,7.3,27,56,43,0.64,50,Gram
0,7,24,57,42,0.56,50,Gram
2,6.9,23,58,31,0.61,50,Gram
0,7.5,25,59,41,0.62,50,Gram
0,6.5,24,60,50,0.46,50,Horsegram
0,6.8,25,61,45,0.5,50,Horsegram
0,7.4,30,60,70,0.54,35,Horsegram
0,7.3,32,65,65,0.4,60,Horsegram
0,7,26,70,63,0.59,60,Horsegram
0,6.9,29,75,72,0.76,60,Horsegram
0,7.5,24,80,53,0.59,60,Horsegram
0,6.6,25,48,60,0.22,60,Greengram
0,7.2,33,49,55,0.27,60,Greengram
0,6.8,32,50,88,0.59,60,Greengram
0,7.1,34,51,62,0.38,60,Greengram
0,6.7,29,52,72,0.82,60,Greengram
0,6.9,27,53,76,0.63,60,Greengram
0,7.3,24,54,74,0.68,60,Greengram
1,5.5,18,40,60,0.9,60,Masoor 
1,7,30,52,80,1.4,60,Masoor 
0,5.5,13,73,65,7.69,25,Onion
0,6.4,16,74,68,9.64,25,Onion
0,5.5,21,65,70,10.87,25,Onion
0,5.8,25,66,71,10.93,25,Onion
0,6.3,26,67,63,8.84,25,Onion
0,6.1,17,68,66,8.58,25,Onion
0,6.5,24,69,62,5.51,25,Onion
0,5.5,20,69,50,0.62,60,Smallmillets
0,6.1,24,70,90,0.62,60,Smallmillets
0,6.5,25,71,56,0.6,60,Smallmillets
0,5.8,30,72,93,1.49,60,Smallmillets
0,6.9,27,73,66,2,60,Smallmillets
0,5.7,21,74,78,1.5,60,Smallmillets
0,7,23,65,92,1.63,60,Smallmillets
0,5,21,90,75,12.1,70,Sweet potato
0,6.7,26,91,150,20.48,70,Sweet potato
0,5.9,27,92,125,20.63,70,Sweet potato
0,6.3,23,93,117,30.49,70,Sweet potato
0,6.8,22,94,86,33.53,70,Sweet potato
0,6.4,24,85,139,17.6,70,Sweet potato
0,7,29,86,121,16.26,70,Sweet potato
0,5.5,25,57,100,34.75,70,Tapioca
0,6.9,24,58,150,37.64,80,Tapioca
0,6.3,29,59,120,42.73,50,Tapioca
0,5.9,27,60,130,41.58,50,Tapioca
0,6.2,28,61,140,29.94,50,Tapioca
0,6.7,26,60,147,42.63,50,Tapioca
0,7,30,65,137,42.79,50,Tapioca
0,4.5,20,70,150,5.08,50,Turmeric
0,5.3,19,71,110,5.27,50,Turmeric
1,5.9,24,72,160,5.48,35,Turmeric
0,5.2,26,73,127,5.68,70,Turmeric
0,6.4,27,74,168,3.69,80,Turmeric
0,4.9,30,65,135,4,75,Turmeric
0,7.5,31,90,145,3.8,85,Turmeric
0,4.5,25,48,7.4,0.38,50,Urad
1,7.3,35,49,112.6,0.47,50,Urad
0,6.3,22,50,22,0.84,50,Urad
1,6.8,34,51,2.87,0.52,50,Urad
0,7.3,33,52,121,0.84,50,Urad
2,7,31,53,106.4,0.85,50,Urad
2,7.5,27,54,25.4,0.69,50,Urad
